Key,Description,Standard,GER,KOR
SAY.FinalStage.103.???,,I'm always eating well.,Ich esse immer gut.,항상 잘 먹고 있습니다.
SAY.FinalStage.104.???,,"Trevor, we have a visitor.","Trevor, wir haben einen Besucher.","트레버, 손님이 왔어."
SAY.FinalStage.105.Trevor,,"Oh, you're here, with Toast!","Oh, du bist hier mit Toast!","오, 오셨군요! 토스트랑 같이."
SAY.FinalStage.107.Trevor,,Thank you.,Danke,감사합니다.
SAY.FinalStage.108.Trevor,,"Oh, yes. Are you ready to take the plane?","Oh ja. Bist du bereit, das Flugzeug zu nehmen?","아, 비행기를 탈 준비가 되셨나요?"
SAY.FinalStage.131.Trevor,,How much do I spin?,Wie viel spinne ich?,얼마나 회전할까요?
MENU.FinalStage.130,,Once,Einmal,한 번
MENU.FinalStage.133,,Twice,zweimal,두 번
MENU.FinalStage.132,,As much as possible,So viel wie möglich,가능한 많이!
SAY.FinalStage.173.,,"Annie, let's go play where you said before.","Annie, lass uns spielen gehen, wo du es vorher gesagt hast.","애니, 전에 말한대로 놀자."
SAY.FinalStage.174.Annie,,Oh yeah! Let's go right away!,Oh ja! Lass uns sofort gehen!,오 예! 당장 가자!
SAY.FinalStage.179.Annie,,look!!,aussehen!!,봐봐!
SAY.FinalStage.183.Annie,,It's my secret place!,Es ist mein geheimer Ort!,내 비밀 장소야!
SAY.FinalStage.184.Annie,,Welcome!,Herzlich willkommen!,어서와!
SAY.FinalStage.182.Annie,,"Look up and down, how is it??","Schau auf und ab, wie ist es?","위 아래로 봐봐, 어때 ??"
SAY.FinalStage.186.Annie,,"Look at the waterfalls, trees and moss!\nThere are even a lot of fish!!","Schau dir die Wasserfälle, Bäume und Moos an! Es gibt sogar viele Fische !!","폭포, 나무, 이끼를 봐봐! 물고기도 많이있다고!!"
SAY.FinalStage.193.Annie,,Shall we go over there and play?,Sollen wir dorthin gehen und spielen?,우리 저기 가서 놀아볼까?
SAY.FinalStage.195.Annie,,(I took out the donut and gave it to Annie),(Ich nahm den Donut heraus und gab ihn Annie),(도넛을 꺼내서 애니에게 주었다)
SAY.FinalStage.196.Annie,,(Eating a donut) This donut is delicious anytime!,(Donut essen) Dieser Donut ist jederzeit lecker!,(도넛을 먹으면서) 이 도넛은 언제먹어도 맛있다니깐!
SAY.FinalStage.197.Annie,,It's really nice to come to play\nI feel healed,"Es ist wirklich schön, zum Spielen zu kommen. Ich fühle mich geheilt",여기 와서 노니까 정말 좋다. 힐링되는 느낌이야.
SAY.FinalStage.198.,,"Afterwards, on every vacation,","Danach in jedem Urlaub,","그 후, 휴가 때마다"
SAY.FinalStage.199.,,"Plays with Annie in her secret place, eating donuts.",Spielt mit Annie an ihrem geheimen Ort und isst Donuts.,"애니와 함께 그녀의 비밀 장소에서 놀곤 한다, 도넛을 먹으면서.."
SAY.FinalStage.135.Trevor,,"Now, Let's go!",Jetzt aber los!,"자, 갑니다!"
SAY.FinalStage.136.Trevor,,"Now, Let's go!",Jetzt aber los!,"자, 갑니다!"
SAY.FinalStage.137.Trevor,,"Now, Let's go!",Jetzt aber los!,"자, 갑니다!"
SAY.FinalStage.170.Trevor,,Hold tight!,Halt dich fest!,꽉 잡으세요!
SAY.FinalStage.161.Trevor,,Wow!!!,Beeindruckend!!,와우!
SAY.FinalStage.162.Trevor,,Isn't it interesting?,Ist es nicht interessant?,흥미롭지 않으신가요?
SAY.FinalStage.163.Trevor,,This moment is the most interesting and enjoyable for me.,Dieser Moment ist der interessanteste und angenehmste für mich.,저는 이 순간이 가장 흥미롭고 즐겁습니다.
SAY.FinalStage.164.Trevor,,That's why I became a pilot.,Deshalb bin ich Pilot geworden.,제가 파일럿이 된 이유기도 하죠.
SAY.FinalStage.165.Trevor,,Let's forget everything today!,Vergessen wir heute alles!,오늘은 모든 일을 다 잊어 버리죠!!
SAY.FinalStage.167.,,It was an air show that was thrilling enough to forget everything about the cafe.,"Es war eine Flugshow, die aufregend genug war, um alles über das Café zu vergessen.",카페에 대한 모든 것을 잊을만큼 스릴 넘치는 에어쇼였다.
SAY.FinalStage.168.,,"After that, I would sometimes go to Trevor.",Danach ging ich manchmal nach Trevor.,"그 후, 나는 가끔 트레버에게 가곤 한다…"
SAY.FinalStage.211.,,I think I'm crazy about my café.,"Ich glaube, ich bin in das Café vertieft.",아무래도 나는 내 카페에 푹 빠진 것 같다.
SAY.FinalStage.212.,,Let's open a cafe for guests!,Öffnen Sie ein Café für die Gäste!,손님들을 위해 카페를 열자!
SAY.FinalStage.221.,,"Sherlock, espresso.","Sherlock, Espresso.","셜록, 에스프레소"
SAY.FinalStage.224.Sherlock,,"Thank you, always",Ich danke Ihnen immer.,항상 고맙군.
SAY.FinalStage.227.,,"Here's the toast, Mr. Trevor.","Toast, Mr.Trevor.","토스트 나왔습니다, 트레버씨"
SAY.FinalStage.228.Trevor,,"Thank you, so much.",Vielen Dank.,감사합니다!
SAY.FinalStage.231.,,"Here's a donut, my little friend.","Donuts sind da, Kumpel!","도넛 나왔어, 친구!"
SAY.FinalStage.233.Annie,,Thanks!!,Danke!,고마워!
SAY.FinalStage.237.,,I'm spending my day as usual today. ,Heute verbringe ich einen Tag wie üblich. ,오늘도 평소와 다름없는 하루를 보냈다.
SAY.FinalStage.238.,,This kind of day is not bad either.,Heute ist es nicht schlecht.,이런 날도 나쁘진 않은 것 같다.
SAY.FinalStage.239.,,How will I be in a few years?,Was passiert mit mir in ein paar Jahren?,몇 년 후에 나는 어떻게 되어 있을까?
SAY.FinalStage.240.,,Do I still run a cafe?,Führt ich immer noch ein Café?,여전히 카페를 운영하고 있을까?
SAY.FinalStage.241.,,Or am I living a different life?,Oder soll ich ein anderes Leben führen?,아니면 다른 삶을 살고 있을까?
SAY.FinalStage.242.,,No one knows.,Niemand weiß es.,아무도 모른다.
SAY.FinalStage.243.,,The second act of my life has just begun..,Der zweite Akt meines Lebens hat gerade angefangen..,내 인생의 2막은 이제 막 시작되었으니까..
CHARACTER.John,,John,John,존
CHARACTER.Alice,,Alice,Alice,엘리스
CHARACTER.???,,???,???,???
CHARACTER.Annie,,Annie,Annie,애니
CHARACTER.Sherlock,,Sherlock,Sherlock,셜록
CHARACTER.Trevor,,Trevor,Trevor,트레버
MENU.FinalStage.209,,Open a cafe for guests.,Café für die Gäste eröffnen,손님들을 위해 카페 열기
