Key,Description,Standard,GER,KOR
SAY.Flowchart.102.,,Please Enter your cafe name. (Up to 9 characters),Bitte geben Sie Ihren Caf?namen ein. (Bis zu 9 Zeichen),카페 이름을 입력하세요. (최대 9글자까지)
,,,,
,,,,
SAY.Flowchart.119.Alice,,The language can be changed again in the settings.,Die Sprache kann in den Einstellungen erneut ge?ndert werden.,언어는 설정에서 다시 변경할 수 있습니다.
SAY.Flowchart.100.,,You entered: {$cafename},,
WRITE.Flowchart.99,,,,
SAY.Flowchart.106.,,"{$cafename} , Is this right?","{$cafename} , Ist das richtig?","{$cafename} , 맞습니까?"
MENU.Flowchart.109,,Yes,Ja,예
MENU.Flowchart.110,,No,Nein,아니오
CHARACTER.Alice,,Alice,Alice,엘리스
SAY.Flowchart.124.Alice,,Ah! Food is refilled by pressing the yellow cone,Ah! Das Essen wird durch Dr?cken des gelben Kegels nachgef?llt,아! 노란색 꼬깔을 누르면 음식이 다시 리필됩니다
